"Countries","ResidualCorrelation"
"CAR (NLS-2) and EQGUINEA (NLS-2)",0.130533264692712
"CHAD (NLS-1) and EQGUINEA (NLS-2)",0.210015641435416
"COMOROS (NLS-1) and EQGUINEA (NLS-2)",0.119271348323706
"CONGODR (NLS-2) and EQGUINEA (NLS-2)",0.10897831507251
"CONGOREPUB (NLS-1) and EQGUINEA (NLS-2)",-0.0189917627091733
"DJIBOUTI (NLS-1) and EQGUINEA (NLS-2)",0.23406783666664
"EGYPT (NLS-1) and EQGUINEA (NLS-2)",-0.0837818434301614
"ALGERIA (NLS-1) and ERITREA (OLS)",0.197674685583227
"ANGOLA (OLS) and ERITREA (OLS)",-0.151883272863762
"BENIN (NLS-1) and ERITREA (OLS)",0.0902286906440148
"BOTSWANA (NLS-1) and ERITREA (OLS)",-0.195094083043601
"BURKINAFASO (NLS-1) and ERITREA (OLS)",-0.228220420328792
"BURUNDI (NLS-1) and ERITREA (OLS)",-0.0203256721360943
"CABOVERDE (OLS) and ERITREA (OLS)",-0.0327568070991143
"CAMEROON (NLS-1) and ERITREA (OLS)",-0.110536096954714
"CAR (NLS-2) and ERITREA (OLS)",0.167369956156412
"CHAD (NLS-1) and ERITREA (OLS)",0.0039697506459277
"COMOROS (NLS-1) and ERITREA (OLS)",-0.125752352290204
"CONGODR (NLS-2) and ERITREA (OLS)",-0.408122354353833
"CONGOREPUB (NLS-1) and ERITREA (OLS)",-0.0754971303206266
"DJIBOUTI (NLS-1) and ERITREA (OLS)",0.151391144891669
"EGYPT (NLS-1) and ERITREA (OLS)",-0.193933194006112
"EQGUINEA (NLS-2) and ERITREA (OLS)",0.0292730649895609
"ALGERIA (NLS-1) and ETHIOPIA (NLS-2)",-0.0599809800670241
"ANGOLA (OLS) and ETHIOPIA (NLS-2)",0.0710004016682511
"BENIN (NLS-1) and ETHIOPIA (NLS-2)",0.052499341787691
"BOTSWANA (NLS-1) and ETHIOPIA (NLS-2)",-0.0993629068853801
"BURKINAFASO (NLS-1) and ETHIOPIA (NLS-2)",0.0122154478344346
"BURUNDI (NLS-1) and ETHIOPIA (NLS-2)",-0.103173761137549
"CABOVERDE (OLS) and ETHIOPIA (NLS-2)",-0.10868307583419
"CAMEROON (NLS-1) and ETHIOPIA (NLS-2)",-0.0349450464277316
"CAR (NLS-2) and ETHIOPIA (NLS-2)",-0.0389813391429606
"CHAD (NLS-1) and ETHIOPIA (NLS-2)",-0.0719681666843841
"COMOROS (NLS-1) and ETHIOPIA (NLS-2)",-0.0521249618661748
"CONGODR (NLS-2) and ETHIOPIA (NLS-2)",0.171096354200169
"CONGOREPUB (NLS-1) and ETHIOPIA (NLS-2)",-0.0214523547446612
"DJIBOUTI (NLS-1) and ETHIOPIA (NLS-2)",-0.0495790733653311
"EGYPT (NLS-1) and ETHIOPIA (NLS-2)",0.0657678082147101
"EQGUINEA (NLS-2) and ETHIOPIA (NLS-2)",0.0143952058921241
"ERITREA (OLS) and ETHIOPIA (NLS-2)",0.0792138875100352
"ALGERIA (NLS-1) and GABON (NLS-1)",0.0304436226340888
"ANGOLA (OLS) and GABON (NLS-1)",-0.108928640273646
"BENIN (NLS-1) and GABON (NLS-1)",-0.0805147965816814
"BOTSWANA (NLS-1) and GABON (NLS-1)",-0.167765265245253
"BURKINAFASO (NLS-1) and GABON (NLS-1)",0.370063229567608
"BURUNDI (NLS-1) and GABON (NLS-1)",-0.16596151089931
"CABOVERDE (OLS) and GABON (NLS-1)",-0.133374335890539
"CAMEROON (NLS-1) and GABON (NLS-1)",-0.0179714763402949
"CAR (NLS-2) and GABON (NLS-1)",-0.0270185929938036
"CHAD (NLS-1) and GABON (NLS-1)",-0.0694876219286937
"COMOROS (NLS-1) and GABON (NLS-1)",-0.0898207327294008
"CONGODR (NLS-2) and GABON (NLS-1)",-0.0636049490184162
"CONGOREPUB (NLS-1) and GABON (NLS-1)",-0.0175244506143893
"DJIBOUTI (NLS-1) and GABON (NLS-1)",-0.0834709312763285
"EGYPT (NLS-1) and GABON (NLS-1)",-0.00318253924700585
"EQGUINEA (NLS-2) and GABON (NLS-1)",-0.133799037423352
"ERITREA (OLS) and GABON (NLS-1)",0.132235060771172
"ETHIOPIA (NLS-2) and GABON (NLS-1)",0.15193930805756
"ALGERIA (NLS-1) and GAMBIA (NLS-1)",0.280144550999605
"ANGOLA (OLS) and GAMBIA (NLS-1)",-0.117404186014469
"BENIN (NLS-1) and GAMBIA (NLS-1)",-0.0896680408994365
"BOTSWANA (NLS-1) and GAMBIA (NLS-1)",-0.159289057983678
"BURKINAFASO (NLS-1) and GAMBIA (NLS-1)",-0.0946002489590863
"BURUNDI (NLS-1) and GAMBIA (NLS-1)",0.17052297918266
"CABOVERDE (OLS) and GAMBIA (NLS-1)",-0.126728229734461
"CAMEROON (NLS-1) and GAMBIA (NLS-1)",-0.062082503479154
"CAR (NLS-2) and GAMBIA (NLS-1)",-0.105909712907682
"CHAD (NLS-1) and GAMBIA (NLS-1)",0.212974153281322
"COMOROS (NLS-1) and GAMBIA (NLS-1)",-0.02696082680582
"CONGODR (NLS-2) and GAMBIA (NLS-1)",-0.383612975362554
"CONGOREPUB (NLS-1) and GAMBIA (NLS-1)",-0.0851499787947776
"DJIBOUTI (NLS-1) and GAMBIA (NLS-1)",-0.273438348690936
"EGYPT (NLS-1) and GAMBIA (NLS-1)",0.259023908121801
"EQGUINEA (NLS-2) and GAMBIA (NLS-1)",-0.234968616012211
"ERITREA (OLS) and GAMBIA (NLS-1)",-0.0104414268988978
"ETHIOPIA (NLS-2) and GAMBIA (NLS-1)",-0.0645071186505962
"GABON (NLS-1) and GAMBIA (NLS-1)",0.152107512427926
"ALGERIA (NLS-1) and GHANA (OLS)",0.00653183574430265
"ANGOLA (OLS) and GHANA (OLS)",0.0864994076427879
"BENIN (NLS-1) and GHANA (OLS)",0.262544367544311
"BOTSWANA (NLS-1) and GHANA (OLS)",0.04267475651547
"BURKINAFASO (NLS-1) and GHANA (OLS)",0.0228202444803112
"BURUNDI (NLS-1) and GHANA (OLS)",0.0973731986471762
"CABOVERDE (OLS) and GHANA (OLS)",0.117707413860051
"CAMEROON (NLS-1) and GHANA (OLS)",-0.0181083295575714
"CAR (NLS-2) and GHANA (OLS)",-0.018147628710824
"CHAD (NLS-1) and GHANA (OLS)",0.100440188002498
"COMOROS (NLS-1) and GHANA (OLS)",-0.0405206732955767
"CONGODR (NLS-2) and GHANA (OLS)",0.161200078315288
"CONGOREPUB (NLS-1) and GHANA (OLS)",0.0969687959074217
"DJIBOUTI (NLS-1) and GHANA (OLS)",0.26008755025874
"EGYPT (NLS-1) and GHANA (OLS)",-0.0669018596533981
