"","ALGERIA (NLS-1)","ANGOLA (OLS)","BENIN (NLS-1)","BOTSWANA (NLS-1)","BURKINAFASO (NLS-1)","BURUNDI (NLS-1)","CABOVERDE (OLS)","CAMEROON (NLS-1)","CAR (NLS-2)","CHAD (NLS-1)","COMOROS (NLS-1)","CONGODR (NLS-2)","CONGOREPUB (NLS-1)","DJIBOUTI (NLS-1)","EGYPT (NLS-1)","EQGUINEA (NLS-2)","ERITREA (OLS)","ETHIOPIA (NLS-2)","GABON (NLS-1)","GAMBIA (NLS-1)","GHANA (OLS)","GUINEA (NLS-1)","GUINEABISSAU (NLS-1)","IVORYCOAST (NLS-1)","KENYA (NLS-1)","LESOTHO (NLS-1)","LIBERIA (NLS-2)","LIBYA (NLS-2)","MADAGASCAR (NLS-1)","MALAWI (NLS-1)","MALI (NLS-1)","MAURITANIA (OLS)","MAURITIUS (OLS)","MOROCCO (NLS-1)","MOZAMBIQUE (NLS-1)","NAMIBIA (NLS-1)","NIGER (NLS-1)","NIGERIA (NLS-1)","RWANDA (NLS-1)","SAOTOME (NLS-1)","SENEGAL (OLS)","SEYCHELLES (NLS-1)","SIERRALEONE (NLS-1)","SOMALIA (NLS-1)","SOUTHAFRICA (NLS-1)","SUDAN (OLS)","TANZANIA (NLS-1)","TOGO (OLS)","TUNISIA (NLS-1)","UGANDA (OLS)","ZAMBIA (NLS-1)","ZIMBABWE (NLS-2)"
"GHANA (OLS)",0.00653183574430265,0.0864994076427879,0.262544367544311,0.04267475651547,0.0228202444803112,0.0973731986471762,0.117707413860051,-0.0181083295575714,-0.018147628710824,0.100440188002498,-0.0405206732955767,0.161200078315288,0.0969687959074217,0.26008755025874,-0.0669018596533981,0.105933002517451,-0.0110520883251911,0.0269029129413743,-0.244028438900634,-0.211764560010182,1,0.227712539246177,-0.0510376284730144,-0.0281326525010633,-0.143896693613477,0.465128463814775,0.157561673696831,-0.179436348017222,0.095661023807698,-0.146767783007606,-0.255839023266006,0.108065143224111,-0.0896918177412407,0.075142639410312,0.242427541616617,0.106345280047281,0.150916083298909,0.110489073418114,0.101344665397677,0.0716785485013892,-0.284685477788732,-0.0174802724558695,0.0602832403986309,-0.232047402070981,0.438085655148779,-0.111278128549139,-0.0300664313745967,0.259052826399275,-0.138827172988071,0.256490736424984,0.16346957044791,0.214547028968523
"GUINEA (NLS-1)",-0.0494591415357057,0.0281830504608119,0.157048696414133,0.259584479300031,0.218335363410457,0.0195421497772375,0.0423121620855802,0.0913202403175392,0.0140420194493428,0.0735650898618117,-0.0783480696540171,0.109290192279301,-0.1582655484738,0.0164622132108961,0.0627381854696731,-0.0370743766446298,-0.1711249523357,0.0663798948086372,0.0154649004487543,-0.0214584491713009,0.227712539246177,1,0.0676824672345825,0.0768393563156322,-0.0262277331834069,0.119580077437841,0.0502678054526468,-0.0347806751652386,0.0343748253322214,-0.0934160594436658,0.0199904192214303,0.0443342317436765,-0.0767046833372504,0.112616213956348,0.134571573269928,0.00212690584827916,0.106572031341197,0.172007894292834,0.191881921645076,0.102375646217876,-0.0299418435841315,0.184102938760438,0.0878292489411457,0.0581124524809474,0.13271160066084,-0.016566618600852,0.275131105788177,0.123869227096446,0.0213803847139087,0.237669518793789,0.262562008575882,-0.11022910499786
"GUINEABISSAU (NLS-1)",-0.201562226932727,-0.201130989552725,-0.0447764047107525,-0.122786481555885,-0.00744590255023026,-0.16588810520771,-0.0176711128655337,-0.0701996348899614,-0.0716278483262865,-0.218031394551575,0.166053886987418,-0.0774738941732988,0.11458902327559,0.0356776319940609,-0.0407214745013909,0.0642559266381361,0.231642102206066,0.140781572694111,0.0704136164612319,-0.116714943569898,-0.0510376284730144,0.0676824672345825,1,0.0702790742273585,-0.16843147066323,-0.0817676501571556,-0.0703797227138681,-0.250291621429305,-0.193066272861899,-0.127785437965595,-0.170814556232667,-0.0492448594805506,0.258201612927902,-0.239211725223959,-0.0178956927485641,-0.395623734252322,-0.119863017599768,-0.201009926518592,0.163989689993398,-0.259303671431956,-0.0865116222081398,0.0992786689421072,0.0343015981692187,0.175430050702383,-0.0727431993903909,0.226886477093763,-0.0600224218974106,-0.0464919264777462,-0.175036494525945,0.105101578454199,0.0483219969654783,0.0706272047175098
"IVORYCOAST (NLS-1)",0.174486468583589,0.051977259354581,-0.0931707525464372,-0.0886323030071923,0.229586712909169,0.0467373053301388,-0.143089207449953,0.0786926664332393,-0.0621676790949209,-0.14340327406542,-0.123687969098819,-0.028287894156967,0.144451400117759,-0.00295760044039109,-0.155020891028383,-0.0126214273885117,0.133471240707559,0.0557255272069246,0.152314433000802,0.0687059051033658,-0.0281326525010633,0.0768393563156322,0.0702790742273585,1,-0.0198531482485436,0.120800694563096,0.0498771870620953,0.069632438233207,0.0371830700598902,-0.109101507333375,0.103657757129098,0.0289746759419641,0.222037311093968,0.105790396415718,0.190192552399204,0.0746405353549846,0.0923218220282869,0.0575320500188374,-0.111586533671325,0.140809248569885,0.206556749145128,0.0791116850347086,0.0704622297654863,0.072879230448149,0.0167709419342231,-0.146055702876906,0.134274573374311,0.0326180341733163,-0.0354385367889026,0.0899538608129254,0.0822875173328038,0.0956098183441043
"KENYA (NLS-1)",-0.133869938797171,0.293400879854911,0.064126059402887,0.262710859683893,-0.0198690176922933,-0.340972879832376,-0.0492808168427671,0.293100803703969,-0.0611517646163071,-0.10002929313166,-0.0321529198284956,0.422833179478426,-0.0199931171850178,-0.0241123756767586,-0.130510555650194,0.15953159397795,-0.101331121467724,0.0926550061779612,0.0123668928259108,-0.365639461237986,-0.143896693613477,-0.0262277331834069,-0.16843147066323,-0.0198531482485436,1,-0.128503968359733,-0.0359068058133374,0.185975013180336,0.0755112870665634,0.264918071016748,-0.0892400142777023,-0.0756159213345472,0.0354274874254452,-0.0694700911703572,0.0844004518028409,0.0548089646762599,0.200740877640805,0.0164257245214355,-0.152980518064199,0.176809469568717,-0.0969820524221999,0.27058772052891,0.0026211641716126,0.126265362241808,-0.0294386247388576,-0.247726443908665,-0.0277887720465575,0.114971064900368,0.283162136062368,-0.158602707848615,-0.187500417395565,-0.0196751244542666
"LESOTHO (NLS-1)",0.0303446739565501,0.00460686315734285,0.2834489534202,0.0145655359058741,0.178061527688987,0.177012630801144,0.234896058994487,-0.0191086474266351,0.0144355064056105,-0.057827556793081,0.0620650266819525,0.114871577905821,-0.00225079778372714,0.0379879673895584,-0.0575760260604993,0.0622252859710122,0.141985449867797,-0.131991380795143,-0.0477706554886138,-0.0717307100401556,0.465128463814775,0.119580077437841,-0.0817676501571556,0.120800694563096,-0.128503968359733,1,0.128074751075062,0.123177242826328,0.0735771266671563,-0.144683894549895,-0.229473570513815,0.0886756400296694,-0.0130360181579003,-0.112717027909687,0.236231663386677,0.174865730131653,-0.0764768714085896,0.115673233433173,-0.118656414856783,0.102478837644573,-0.339390114568145,0.246100263644604,0.0349196526238329,-0.177008954048859,0.413778780454017,-0.0239830527513045,-0.0748184612061963,0.1141030928154,-0.23104103045668,-0.01440839814095,0.127951965408615,0.206861358203615
"LIBERIA (NLS-2)",-0.236787775234583,0.0189009948481837,0.0226905063083029,0.11745964014394,0.116432113609289,-0.0847410507306136,0.167660475988358,0.234255631269283,0.0598229408951139,0.138704207566227,-0.1173697073235,0.187475460762254,-0.000620381166119539,-0.0844894684187362,-0.108464408376141,0.348877383573549,0.0113183841864341,0.0436524150737761,0.109283620336703,-0.163201560053367,0.157561673696831,0.0502678054526468,-0.0703797227138681,0.0498771870620953,-0.0359068058133374,0.128074751075062,1,-0.078966403366257,-0.0943144193092504,0.0862685015739291,-0.0125546576918292,-0.000703491718049659,-0.0365877341274144,0.10585736625975,0.174098078802401,0.148088725676497,0.0601980426638529,-0.0771020659844465,-0.0113282220408684,-0.0487275772546598,0.0209141647049677,0.00778550271594716,0.0741816806520945,0.0745857669512692,0.169531967088492,0.0830749109625931,-0.092698887243824,0.216540269857128,0.00206620716530243,0.0122521685525444,0.0889260653197346,0.0728159735975325
"LIBYA (NLS-2)",0.115237125963469,0.137834617758827,-0.0860736573340102,0.153468611335974,0.0901250766891094,-0.209839727798221,-0.133173216437941,0.00692319948926952,-0.0356812983526,0.091122236262142,-0.107062047267661,0.0676516293881659,0.0439343354005395,0.0230160944298338,0.232716752908382,0.0704139110381991,-0.262440073767224,-0.163379067468167,0.100967604403311,0.203911577094541,-0.179436348017222,-0.0347806751652386,-0.250291621429305,0.069632438233207,0.185975013180336,0.123177242826328,-0.078966403366257,1,0.0516009712103511,-0.0950182445535751,-0.0871230363832534,-0.0409503734876401,-0.042754830075716,0.0424196856589686,0.0725560930830929,0.0673960536573175,-0.0234982925806104,0.18531415439534,-0.176567799739028,0.139244531082191,0.0255888446780384,0.0737813092884346,0.0905465681342133,0.017012936822933,-0.0773324894836428,0.077770135602188,-0.0947843683564922,-0.00326126916621323,0.323415340291021,-0.383684923776388,-0.0277146061714088,-0.165955003751642
"MADAGASCAR (NLS-1)",0.0364830500256555,0.289701649352329,-0.10321851842317,-0.00341617114257319,0.0313278493297324,-0.0419391296446511,-0.108148846431655,-0.129406429535793,-0.0120379736279276,-0.0356310653824775,0.0830875172219995,0.0200398261535234,0.0845499779160914,0.114914286960181,0.299577389882892,0.130214950952985,-0.101749454783003,0.28851112546364,-0.0426439168741735,0.182571146838622,0.095661023807698,0.0343748253322214,-0.193066272861899,0.0371830700598902,0.0755112870665634,0.0735771266671563,-0.0943144193092504,0.0516009712103511,1,-0.149140078431476,0.0389110446168931,0.0921626442316023,-0.374747552493903,-0.0740817969850502,0.0694854509757967,-0.00992668435773934,0.12652145872542,0.231138556954295,-0.189484208199705,0.0355170551439972,0.190281526185355,-0.102939563005396,-0.298424125104333,0.0775685770315158,0.111382493161967,0.0894570585436051,0.242384552665857,0.120215782547891,0.104124594645857,-0.0233663423553734,0.0700532110359412,0.0421880331728563
"MALAWI (NLS-1)",0.0156987837909437,-0.00579005728750693,0.0446678111842084,0.0549356591521038,0.145678832585206,-0.218460664213411,-0.122240441836055,0.118517661774704,-0.0348965815640499,-0.143642672316439,0.117627950837149,0.0897178937573378,0.0462376433629545,-0.224615289136973,-0.116970113440488,-0.0571902552162569,-0.216790424185954,0.0176395607528978,-0.00350922318710557,-0.141547168909019,-0.146767783007606,-0.0934160594436658,-0.127785437965595,-0.109101507333375,0.264918071016748,-0.144683894549895,0.0862685015739291,-0.0950182445535751,-0.149140078431476,1,-0.0787068547010858,-0.0461865903386688,0.0489252268872788,-0.134166437547718,-0.120361795497402,0.132351241550307,-0.0410005942691782,0.00570105398755183,0.281228588346878,0.14152543079362,-0.0888940750148887,-0.00718467663587198,0.159227426477997,-0.0751666109488775,-0.0246657172384794,-0.187971796828981,0.0259653319814126,0.124808639048521,0.00404278156371362,-0.0654104185987514,0.099920887735447,0.00687134145091771
"MALI (NLS-1)",0.22788104100213,0.00535093666927698,-0.142803962851839,0.163300597585158,0.159299252704291,0.185606274089203,0.077694567499009,0.145506107753165,0.0858807506837251,-0.0256687799958136,-0.158023924343291,-0.134401902990684,-0.571972513808735,0.0527252254578513,0.044867799915691,0.0206248481802436,0.03876112755658,-0.140938258000967,0.0354990965195872,0.0727594061823633,-0.255839023266006,0.0199904192214303,-0.170814556232667,0.103657757129098,-0.0892400142777023,-0.229473570513815,-0.0125546576918292,-0.0871230363832534,0.0389110446168931,-0.0787068547010858,1,0.0847638260675139,0.0754033665145628,0.360491791106163,0.195578242894081,0.15170336445736,0.28334404064747,-0.00616632124848863,-0.0502057525084058,-0.106733017399668,0.257767800009543,-0.073941390143087,-0.0954439838347467,0.221905977994269,-0.127479136468835,0.109257625130071,0.250231751205852,-0.0151500780134398,-0.0194914459829992,-0.187011181769885,0.071334262403447,-0.0825819780297011
"MAURITANIA (OLS)",0.154332752806767,0.083219157163865,0.0909436420559271,0.0370722824486774,0.309393217524298,-0.0269125097932746,0.267864167667277,-0.140367240810382,-0.175712295217856,-0.103014752269568,-0.058334611527318,-0.026748527025682,-0.192492907417462,-0.0606149190991782,0.162626202455989,-0.240903642317264,-0.131389445152529,0.335857714455377,0.116579960942021,0.0194090560212757,0.108065143224111,0.0443342317436765,-0.0492448594805506,0.0289746759419641,-0.0756159213345472,0.0886756400296694,-0.000703491718049659,-0.0409503734876401,0.0921626442316023,-0.0461865903386688,0.0847638260675139,1,-0.103140476944995,0.139221409290291,0.3167115061495,0.0637806449403195,0.242356426032931,0.120949579615421,-0.099096426414393,0.16312611799758,0.109194879845493,0.0708421218455655,0.0564133010555855,-0.161999530938844,0.180692504902399,0.153873304254362,-0.0634082797499217,0.0282959325883478,0.143594526736102,0.238335440341324,0.463939017064907,0.102068069341829
"MAURITIUS (OLS)",0.147258923698467,-0.0391756467952123,0.0113686744408015,-0.00508661236820484,0.102918380378071,0.0330261716738854,0.0558132343055147,0.187974788799549,0.074750439380053,-0.0329959012888491,-0.0683082034853476,-0.113790014386881,0.00727487386429571,0.0433886264194262,-0.319057416799228,-0.13966346963704,0.17837304677903,-0.0164744506396302,-0.0334798521467422,0.0367838094795559,-0.0896918177412407,-0.0767046833372504,0.258201612927902,0.222037311093968,0.0354274874254452,-0.0130360181579003,-0.0365877341274144,-0.042754830075716,-0.374747552493903,0.0489252268872788,0.0754033665145628,-0.103140476944995,1,0.0816990274028013,0.121068926431898,0.0136755721931415,-0.0894278039192193,-0.196003585163918,-0.141994184089873,-0.0966080465644126,0.146330077664755,0.0581778619229618,-0.0423242950389901,-0.0647144519295793,-0.0992890880811224,0.0878192372860759,-0.225010578152542,-0.204262026924355,0.0352388937060537,0.00812215688575651,0.120696652925095,0.0020864868712194
"MOROCCO (NLS-1)",0.22280506722909,0.393802317072167,-0.112372774784517,0.194256895518524,0.302354660604473,-0.0656254385394951,0.0408020233609263,0.259878872165887,0.063672499837547,0.289042782401091,-0.301069376019922,0.0132970140613754,-0.232126047434895,0.237045301400551,0.200921903352931,-0.0772427588302957,0.0247498181636198,-0.0843974318770281,0.232507911047539,0.109258061080207,0.075142639410312,0.112616213956348,-0.239211725223959,0.105790396415718,-0.0694700911703572,-0.112717027909687,0.10585736625975,0.0424196856589686,-0.0740817969850502,-0.134166437547718,0.360491791106163,0.139221409290291,0.0816990274028013,1,0.0682760790941348,0.158007311942924,0.151841213132945,0.0302354710344695,-0.217413906399921,-0.0967882818473929,0.0978430234404927,-0.259803826712426,0.0506238392114524,-0.0405980851786966,0.222065734771859,0.00881374004665391,0.159392041820943,0.3267017160206,-0.0723249292500842,0.010738410135099,0.134196049537238,-0.0694095816591688
"MOZAMBIQUE (NLS-1)",-0.163173744787146,-0.0195930577604306,-0.0890563339819175,0.0527294525028889,0.322141942821919,-0.174874700227492,0.0770150246398834,-0.17400195586611,-0.0494396646802981,-0.0440545195334752,-0.292867218201171,0.171167800007829,-0.125449564452817,0.00994987040147889,-0.197038548160225,0.253786038767335,-0.0488995401107719,0.158833363027633,-0.0193637441399745,-0.161499753051568,0.242427541616617,0.134571573269928,-0.0178956927485641,0.190192552399204,0.0844004518028409,0.236231663386677,0.174098078802401,0.0725560930830929,0.0694854509757967,-0.120361795497402,0.195578242894081,0.3167115061495,0.121068926431898,0.0682760790941348,1,0.0376124686659364,0.0867848364530973,-0.0246016729526199,-0.231820733613809,0.0308615813846993,0.234196112700457,-0.0280559954148292,0.101464694925596,0.203434857232175,0.213145389580049,0.160788087055522,0.254698141924492,0.0956141528021373,-0.0416894723405951,0.135431983105332,0.374091289326575,0.105839112412115
"NAMIBIA (NLS-1)",0.178003265089008,0.234621995408105,0.0539382677835915,0.174775524225248,0.0874557684439911,0.147381436741113,0.0587001635707372,0.226596089236876,0.0313348089438411,0.0524363561136445,-0.041170119406409,0.10657006557313,-0.000525019152918266,-0.039646882291038,0.0783502923826259,0.0692982737362659,-0.110806528062111,-0.0704558247210614,-0.110190600289272,-0.0489871413128025,0.106345280047281,0.00212690584827916,-0.395623734252322,0.0746405353549846,0.0548089646762599,0.174865730131653,0.148088725676497,0.0673960536573175,-0.00992668435773934,0.132351241550307,0.15170336445736,0.0637806449403195,0.0136755721931415,0.158007311942924,0.0376124686659364,1,-0.0157436034153432,0.370497657091614,-0.0848570229480239,0.179530590028477,0.087557063604985,-0.0875374114542998,0.17185703152464,-0.270846886722186,0.205311798931685,-0.00298326668366521,0.115600973436739,0.171018045826003,0.151273626276228,-0.0524136576071567,0.0320019300233646,-0.120959438440647
