"","ALGERIA","ANGOLA","BENIN","BOTSWANA","BURKINAFASO","BURUNDI","CABOVERDE","CAMEROON","CAR","CHAD","COMOROS","CONGODR","CONGOREPUB","DJIBOUTI","EGYPT","EQGUINEA","ERITREA","ETHIOPIA","GABON","GAMBIA","GHANA","GUINEA","GUINEABISSAU","IVORYCOAST","KENYA","LESOTHO","LIBERIA","LIBYA","MADAGASCAR","MALAWI","MALI","MAURITANIA","MAURITIUS","MOROCCO","MOZAMBIQUE","NAMIBIA","NIGER","NIGERIA","RWANDA","SAOTOME","SENEGAL","SEYCHELLES","SIERRALEONE","SOMALIA","SOUTHAFRICA","SUDAN","TANZANIA","TOGO","TUNISIA","UGANDA","ZAMBIA","ZIMBABWE"
"1974",179.995787122874,151.329496712343,150.238618594812,477.952289187277,150.142102399412,156.78057826088,176.260538804929,151.63967566624,132.552544542274,105.244166671044,151.948357415336,159.465471063536,205.218125867046,169.112892357459,177.402674008028,201.756401375618,71.3325696480177,108.888934741919,366.432762560291,176.879775868631,151.352940164052,151.514873626919,94.9994277471898,290.341082172357,244.659771220127,241.550778646656,180.363921406359,118.703489178588,136.947557490465,213.91718440071,121.087985926007,237.086329027126,294.54711030732,265.975749895476,260.906150305574,203.091494954085,119.077257149918,213.684573426299,137.854045095472,475.331297704172,126.482664131364,217.105188792462,167.252421329545,103.09869593634,204.946607818539,127.720576441903,165.150632285949,260.076635415532,221.553795587518,259.367287604489,165.193829583548,236.908528667572
"1975",188.995576479018,155.869381613713,142.876926283666,518.100281479008,154.646365471394,157.878042308707,176.260538804929,168.623319340858,133.082754720443,114.716141671438,158.178240069365,151.492197510359,221.019921558809,171.311359958106,193.191511994743,232.221617983337,77.5385032073953,101.484487179468,436.787852971867,198.812868076342,132.58517558371,154.090626478576,102.409383111471,314.439391992662,246.861709161108,208.941423529357,174.051184157136,123.095518278195,138.727875737841,226.966132649154,135.134192293424,224.994926246742,307.507183160842,286.189906887533,269.255147115353,213.449161196743,115.74309394972,202.572975608132,134.959110148467,489.115905337593,135.968863941216,224.052554833821,170.095712492148,134.131403413178,208.430700151454,147.772706943282,175.059670223106,266.318474665505,237.505668869819,256.51424744084,161.394371503126,232.407266622888
"1976",204.871204903255,152.128516454984,144.162818620219,573.018911315783,167.791306536463,170.350407651094,185.249826283981,159.349036777111,140.269223475347,118.157625921581,169.725251594428,143.46311104231,223.009100852838,166.000707799405,221.397472745975,146.764062565469,84.4394299928534,100.875580256392,592.284328629852,213.525020313991,127.94469443828,160.408342164198,107.427442883933,355.002073559716,252.292666762653,231.924980117587,183.275896917464,123.834091387865,134.427311589968,238.314439281611,153.512442445329,244.119494977715,351.173203169681,317.098416831386,273.293974322083,222.20057680581,116.553295607368,220.804543412864,161.276136627418,490.094137148268,148.070092831984,260.573121271734,169.415329642179,132.790089379046,213.016175554786,172.45074900281,181.361818351138,260.725786697529,256.268616710535,255.488190451076,171.40082253632,233.569302956003
"1977",215.729378763128,153.497673103079,151.37095955123,641.781180673677,168.462471762609,189.94070453097,204.330558391231,181.179854815575,145.599453967411,120.757093691856,178.720689928933,144.610815930649,202.938281776083,157.202670286037,249.73634925746,188.151528208931,92.5456152721674,93.2090361569058,517.656503222491,220.784871004667,130.887422410361,166.824675850766,99.6926669962895,380.917224929575,276.260470105105,282.484625783221,186.208311268144,119.499898189289,137.653567068128,249.99184680641,163.183726319385,239.481224573139,373.99946137571,336.441420258101,277.393383936914,233.088405069294,125.644452664743,234.052816017636,164.501659359967,535.182797765909,144.07220032552,244.417587752886,169.415329642179,163.730180204364,212.803159379231,183.142695440984,189.885823813641,278.976591766356,264.981749678693,255.743678641527,163.516384699649,217.453021052039
"1978",235.576481609335,157.335114930656,153.338782025396,733.555889510013,176.211745463689,188.231238190191,214.547086310792,221.039422875002,147.34664741502,120.153308223397,191.767300293745,136.946442686324,215.926331809752,151.857779496311,264.221057514393,202.827347409228,101.985268029928,83.7949235050583,393.418942449093,234.694317877961,142.012853315241,173.831312236498,112.752406372803,422.437202446899,295.322442542357,334.17931230155,195.146310209015,119.619398087479,133.936920757288,274.241055946632,160.735970424594,238.283818450273,388.211440907987,343.843131503779,273.23248317786,243.344294892343,142.606453774483,220.477752688613,179.635812021084,534.112432170377,138.3093123125,296.234116356498,173.481297553591,169.788196871925,219.187254160608,172.337276409966,196.531827647119,309.664016860656,281.940581658129,258.812602785226,164.497483007847,211.581789483633
"1979",253.244717730036,154.031077517112,163.305802857046,822.316152140724,182.731580045845,191.431169239425,217.765292605454,234.301788247502,143.662981229644,94.4405002635899,217.6558858334,137.49422845707,237.087112327108,156.565370660697,280.074320965257,255.968112430445,112.999676977161,90.3309275384529,395.386037161338,231.643291745547,138.46253198236,173.831312236498,115.007454500259,432.575695305624,317.766948175576,343.870512358295,201.586138445912,131.700957294314,147.19667591226,286.307662408284,177.452511348752,249.721441735886,401.798841339767,360.34760181596,268.314298480659,254.051443867607,152.731511992471,235.470239871438,201.012473651592,534.112432170377,147.990964174375,343.039106740825,181.287955943503,165.203915556383,227.516369818711,163.720412589468,202.820846131826,293.561487983902,300.548660047566,241.21334579583,159.562558517612,218.563988536593
"1980",255.270675471876,157.727823377523,174.410597451326,920.994090397611,184.193432686212,193.345480931819,229.306853113543,229.615752482552,137.19814707431,88.7740702477745,233.762421385072,140.519101483125,278.814444096679,165.176466047035,308.081753061782,268.254581827107,126.446638537443,93.944164639991,405.666074127533,246.236819125517,139.154844642272,178.350926354647,96.6062617802179,384.992368822006,335.561897273408,334.586008524621,193.32110676963,132.49116303808,148.374249319558,287.452893057917,169.822053360756,258.211970754906,361.21715836445,373.320115481335,279.583499016847,265.737810285516,149.371418728637,245.359989946039,219.103596280236,528.237195416503,143.10726235662,328.63146425771,189.989777828791,158.760962849684,242.532450226746,166.17621877831,209.513934054177,336.421465229551,322.789260891086,233.012092038772,164.34943527314,250.037202885863
"1981",262.928795736032,150.787799148912,191.851657196458,1004.80455262379,192.113750291719,216.933629605501,248.797935628194,268.880046157069,135.140174868195,89.6618109502522,242.87915581909,143.89155991872,327.885786257694,168.479995367976,319.78885967813,283.813347573079,143.011148185848,93.944164639991,426.355043908037,254.362634156659,134.284425079792,179.421031912775,114.188601424218,398.467101730776,348.313249369798,336.928110584293,189.261363527468,105.992930430464,133.981947135561,272.217889725848,172.369384161167,267.249389731328,382.528970707953,366.973673518152,293.562673967689,268.395188388372,150.267647241009,213.217831263108,230.935190479369,473.828764288603,150.405732736808,301.683684188578,195.499481385826,167.810337732116,255.62920253899,178.473258967905,210.561503724448,325.319556876976,340.542670240095,242.099563628284,174.539100260075,281.291853246596
"1982",279.756238663138,150.787799148912,196.07239365478,1127.3907080439,210.556670319724,214.54735967984,255.764277825784,289.046049618849,145.545968333046,94.4138869306156,258.423421791512,143.172102119127,405.26683181451,171.344155289232,351.447956786265,290.057241219687,162.746686635495,94.7896621217509,413.138037546888,252.327733083405,125.018799749287,182.650610487205,118.984522684035,399.264035934237,353.537948110345,352.089875560587,184.719090802808,107.582824386921,131.57027208712,279.023336968994,159.614049733241,261.102653767507,403.56806409689,400.001304134786,273.306849463918,267.321607634818,152.671929596865,210.872435119214,235.092023907997,488.517455981549,162.137379890279,298.365163662503,204.883456492346,174.690561579133,254.606685728834,189.181654505979,211.824872746794,313.608052829405,338.839956888895,261.951727845804,169.652005452793,288.605441431007
"1983",294.863075550948,157.120886713166,187.641280727625,1275.07889079765,211.188340330683,222.485611987994,280.061884219233,308.990227042549,133.75674489807,109.236867178722,270.827746037504,145.176511548794,429.177574891566,179.911363053693,377.455105588448,304.560103280671,186.182209511006,102.562414415734,436.273767649514,279.831455989496,119.26793496082,185.025068423538,114.939048912778,383.692738532802,358.133941435779,359.131673071798,181.209428077555,102.526431640736,132.754404535905,289.347200436846,162.487102628439,270.763451956905,405.182336353278,405.601322392673,230.397674098083,262.509818697391,145.343676976215,200.117940928134,249.197545342477,469.465275198269,153.544098756094,293.292955880241,200.580903906006,159.317792160169,250.023765385715,193.154469250605,216.908669692717,296.673217976617,354.765434862673,276.882976333014,166.258965343737,293.223128493903
