yr,algeria,angola,benin,botswana,burkinafaso,burundi,cameroon,car,chad,comoros,congodr,congorepub,djibouti,egypt,eqguinea,ethiopia,gabon,gambia,guinea,guineabissau,ivorycoast,kenya,lesotho,liberia,libya,madagascar,malawi,mali,marocco,mozambique,namibia,niger,nigeria,rwanda,saotome,seychelles,sierraleone,somalia,southafrica,tanzania,tunisia,zambia,zimbabwe
 1985.000, 0.042365, 0.072018, 0.073136,-0.011834, 0.018327, 0.075268, 0.057147, 0.057528, 0.148893, 0.001558,-0.022328,-0.023312, 0.016903, 0.024784, 0.098173,-0.068923,-0.079687, 0.002904, 0.023494,-0.053959,-0.007791, 0.006959, 0.019813, 0.038549,-0.009614, 0.018931, 0.004650, 0.056837,-0.002208,-0.039829,-0.000752, 0.033199, 0.082432, 0.036652, 0.044020, 0.075332,-0.073061, 0.036455,-0.020104, 0.003491, 0.040701, 0.014686, 0.051589
 1986.000, 0.054115, 0.018389, 0.021198, 0.007334, 0.031751, 0.012391, 0.092189,-0.014356,-0.020482,-0.005657, 0.038743,-0.061444,-0.004918,-0.007198,-0.151743, 0.025674, 0.051401, 0.001772,-0.008554, 0.010927,-0.007613, 0.024986,-0.010798,-0.021083,-0.108373,-0.017700, 0.024858, 0.039142, 0.066451,-0.074275,-0.000784, 0.031929,-0.103780, 0.026138,-0.057304,-0.003581,-0.029908, 0.032089,-0.000680, 0.006820,-0.025176,-0.012180,-0.002905
 1987.000,-0.036306,-0.046113,-0.020534, 0.063872,-0.028030, 0.040383,-0.019325,-0.041155,-0.038873,-0.009331, 0.020137, 0.008437,-0.002325,-0.009885,-0.089241, 0.068386,-0.215996,-0.022316,-0.005008, 0.016315,-0.035326, 0.016720,-0.040006, 0.028225,-0.185084, 0.005540, 0.007147, 0.018267,-0.030155, 0.077336, 0.014717,-0.013786,-0.110712,-0.046121,-0.046009,-0.012237, 0.050431, 0.067765, 0.004384, 0.008084, 0.026228, 0.003965, 0.022192
 1988.000,-0.031658, 0.014802, 0.016752, 0.005903, 0.009764, 0.048691,-0.049412, 0.011216, 0.088697, 0.006982,-0.012909,-0.015652, 0.002999, 0.009847,-0.055039,-0.050160, 0.050525,-0.000402, 0.015380,-0.027822, 0.001740, 0.039677, 0.014331,-0.062297, 0.035581, 0.023972,-0.021587, 0.011565, 0.022640, 0.025998,-0.028280, 0.038536, 0.041249,-0.082218, 0.025823,-0.005260,-0.064951, 0.000822, 0.021170,-0.001672,-0.029088, 0.045809, 0.073441
 1989.000,-0.012643, 0.026180,-0.061149,-0.041804,-0.007254, 0.018684,-0.036821, 0.007714, 0.080116,-0.046589, 0.006912,-0.003986, 0.024136, 0.025889,-0.185071, 0.003632, 0.007226, 0.011844,-0.004616, 0.028961, 0.006297, 0.016006,-0.016588,-0.241779, 0.102716, 0.012548,-0.004691, 0.017792, 0.000155, 0.005885,-0.022713,-0.006143,-0.025772,-0.011978,-0.030449, 0.017674,-0.007616, 0.016956, 0.005824,-0.008898,-0.034714,-0.026812, 0.002719
 1990.000, 0.001740, 0.013237, 0.032194, 0.014062,-0.030269, 0.038865,-0.028366,-0.025971,-0.060649, 0.024128,-0.072774,-0.013884, 0.000213, 0.005559,-0.107885, 0.024299,-0.072787, 0.020348, 0.002378, 0.029558,-0.038421, 0.024037,-0.002734,-0.556589, 0.068385, 0.007721, 0.004855,-0.061599,-0.025505,-0.056025,-0.024336,-0.022799, 0.038923,-0.041260,-0.068037, 0.005667, 0.007913,-0.007728,-0.016570, 0.023978, 0.025847,-0.040848, 0.046837
 1991.000,-0.022066, 0.004699, 0.008039,-0.026404, 0.037258, 0.060127, 0.012642, 0.018799, 0.036509,-0.073133,-0.087707, 0.005769,-0.039259,-0.012486,-0.036866,-0.093912, 0.062439, 0.011790,-0.009085,-0.076125,-0.036360, 0.000250, 0.002463, 0.217682, 0.167756,-0.031519, 0.039109, 0.012289, 0.028754,-0.032048, 0.045681, 0.015088,-0.079332, 0.004505, 0.009962,-0.018991, 0.027019,-0.322795,-0.012486,-0.006443,-0.003975,-0.052627, 0.002971
 1992.000, 0.039052,-0.108859,-0.004997, 0.010580,-0.031452, 0.028671,-0.064372,-0.043051, 0.045510, 0.057531,-0.076370, 0.024576, 0.020629, 0.007403, 0.018738,-0.123558,-0.064879, 0.015578,-0.010933, 0.028959,-0.045935,-0.040978, 0.024434,-0.288457, 0.027963,-0.019088,-0.046241,-0.028778,-0.033095,-0.099413, 0.035580,-0.099110,-0.007884, 0.013302, 0.008187, 0.016778,-0.158547,-0.142025,-0.033247,-0.024726, 0.031069,-0.060100,-0.049129
 1993.000, 0.012074, 0.082462, 0.017761, 0.015482,-0.017723,-0.039920,-0.086429,-0.013576,-0.092159, 0.019367,-0.064978,-0.021511,-0.050142,-0.018044,-0.058158, 0.088414, 0.002231, 0.019046, 0.006702, 0.036435,-0.043106,-0.006361, 0.006947,-0.056539,-0.036251,-0.012632, 0.013777,-0.002359,-0.047462, 0.021846,-0.029277,-0.042686, 0.008318, 0.148904, 0.045085, 0.048708,-0.026348,-0.000377,-0.014093,-0.014591,-0.008325, 0.034763, 0.028120
 1994.000,-0.024940, 0.023366,-0.017078, 0.011615,-0.049544,-0.024945, 0.022622, 0.019574, 0.036275,-0.057176, 0.004586,-0.046949, 0.032983, 0.004582,-0.191524,-0.026578, 0.031991,-0.003180,-0.001584, 0.006327,-0.038230, 0.019338, 0.006133, 0.167417, 0.017842,-0.014095,-0.096481, 0.003924, 0.042090,-0.001427,-0.007786, 0.009857,-0.022146,-0.181189, 0.016343, 0.036107, 0.010698, 0.110455, 0.004880, 0.003901,-0.004949,-0.039597, 0.081743
 1995.000,-0.027202, 0.011470, 0.008488, 0.021039,-0.009155,-0.075433, 0.014551,-0.002496,-0.021002, 0.021816, 0.044391, 0.064227,-0.005954, 0.004487,-0.108217, 7.44E-05, 0.039304,-0.021098, 0.005230,-0.004306, 0.019853, 0.029529,-0.005419, 0.041018,-0.115806, 0.025080, 0.061396,-0.027247,-0.024106,-0.028746, 0.014368,-0.001253,-0.023498, 0.082973,-0.011257,-0.026105,-0.016854, 0.021973,-0.003736, 0.001647,-0.025784, 0.022709, 0.017146
