"","Estimation_Type","SEFM_ME","SEFM_MAE","MA1_ME","MA1_MAE","AR1_ME","AR1_MAE","OLS_ME","OLS_MAE","RW_ME","RW_MAE"
"GUINEA","NLS",1.54842177770533,1.54842177770533,1.4768489895167,1.4768489895167,1.416250805527,1.416250805527,1.72495558669554,1.72495558669554,-1.56238617084662,65.9871555013994
"GUINEABISSAU","NLS",0.483877676059604,4.05319859573157,2.48295848673615,3.28216570968094,2.23838877912507,3.26743389476355,2.62955116482667,3.01798036277175,-27.9971819642757,56.5963700408917
"IVORYCOAST","NLS",7.36107160461931,9.40540522782793,2.54387339762666,5.08023697623602,2.51471556127062,4.96921019264616,2.2992327155708,4.97906182754921,20.8516649195164,153.046636675358
"KENYA","NLS",0.731675017401197,1.28419092455556,0.843333277445784,0.862673328440604,0.609978735631113,0.718473336665199,-0.840843518740744,1.06096369162099,-26.5814840190066,78.1852341347143
"LESOTHO","NLS",-3.78112935480429,6.55018450799251,-0.975253153298155,1.71099668057017,-1.10126917792587,1.96084849902112,0.582389810273467,3.24464566488037,-93.9885280345904,128.535976225159
"LIBERIA","NLS w/o relations",-0.991778005297054,4.35687702120053,2.27530875627291,3.69609530754321,0.90455140893126,3.02058472701025,NA,NA,-4.7615171374488,53.2122735153268
"LIBYA","NLS w/o relations",-8.31677251052334,43.5337208137292,-10.8541277596525,40.8270219516349,-8.31677420730626,43.5337206902802,NA,NA,-78.0854250082823,100.939619038537
"MADAGASCAR","NLS",1.0171725614139,3.68922391215659,1.10569799347968,1.22745774139888,1.10850574013038,1.21725194185463,1.44190312456609,1.50565632767104,44.1860562280961,67.2814824147744
"MALAWI","NLS",2.4802802961802,5.12461585173617,-0.355214263844266,1.39638644352137,-0.30313444309729,1.40157776385106,-0.0247787815425928,1.92317048241887,38.8064246923697,71.295463361371
"MALI","NLS",1.62744343054279,6.32213706436765,0.387412044159191,2.42982725505949,0.33851272104378,2.46965284020595,-1.10000588342652,1.7960938178446,73.2570558670734,92.7862503014992
"MAURITANIA","OLS",-0.876749317565233,2.38379674533373,0.463317064506037,1.8899789401814,0.640260264441591,1.94546073799167,-0.876749317565233,2.38379674533373,50.4719613254043,56.5378374666424
"MAURITIUS","OLS",-1.16164516331348,1.16164516331348,-1.76671595429812,1.76671595429812,-1.77878446845445,1.77878446845445,-1.16164516331348,1.16164516331348,-16.7558766963727,51.326424343111
"MOROCCO","NLS",-0.40757384680011,1.45575968009005,-1.79051865437739,1.79051865437739,-1.94875697765027,1.94875697765027,0.213440950437593,1.18010885559163,42.0938274470979,63.1693387564726
"MOZAMBIQUE","NLS",-4.16929895528861,4.30559897495361,0.754202430977831,1.32058769185178,0.332717803273732,1.04039218433811,-0.120159421080707,0.799452334656394,-47.1403624400228,111.982932173806
"NAMIBIA","NLS",0.0828575988843414,1.40800535806303,0.405417731609403,1.50178744809077,0.15799543964235,1.38420087647959,-1.07864436315117,1.33124538341317,49.0161687939283,81.1753034995607
"NIGER","NLS",2.67418945128102,2.84614287739497,3.26210974669025,3.33783942202133,3.31464804937053,3.34338541825182,0.510685336840758,2.56235852395331,88.4207808788176,154.626012732046
"NIGERIA","NLS",-2.57293223966024,2.57293223966024,-0.465005719069562,1.7248672628001,-0.643794566776426,1.73659554481837,1.43253514128847,1.53840884112849,-59.3526499628196,78.4702546319979
"RWANDA","NLS",6.38251146469592,8.29589879545076,3.51770543608624,3.51770543608624,3.33054392662245,3.33054392662245,0.840016339874473,1.58306009280158,-0.276047977607422,68.4176192992987
"SAOTOME","NLS",4.31012060401312,4.69368729061475,-0.175897447459105,1.10067638447206,-0.322269650334391,1.22089445482773,4.13561881433244,4.13561881433244,16.9342506950418,32.3050394232647
"SENEGAL","OLS",1.89537155458368,2.39593424326604,2.25108335566101,2.35837155733899,2.18702915531307,2.29340643753843,1.89537155458368,2.39593424326604,-20.1537174945036,74.7945353790007
"SEYCHELLES","NLS",-2.23834941817578,2.53512372728113,0.780404313833872,1.4418325275452,0.604972371016018,1.41012304638085,1.60982055516565,1.93259554041833,-74.2581744355289,74.2581744355289
"SIERRALEONE","NLS",0.626287519463823,9.79831105034547,1.86627928780557,10.4630608913049,1.66155364381367,10.5693696104443,-0.71575503792021,9.13139027457054,-3.16678761952057,41.9140425119623
"SOMALIA","NLS",-0.939354782449782,3.97580285638655,-1.3207273044566,3.17337517690918,-1.41177377886794,3.12461587589556,-0.312593082488622,4.11306505162297,-23.8728870442428,56.5447832078671
"SOUTHAFRICA","NLS",-1.43694359058764,1.68866521900846,-1.05357234964962,1.05357234964962,-0.828200686092274,0.901960903311221,-1.69611315544556,1.69611315544556,-43.0766098000276,70.1711156349268
"SUDAN","OLS",-3.92522780953359,3.92522780953359,-0.951956923681572,1.95304527689625,-0.911192439426198,2.01321492106211,-3.92522780953359,3.92522780953359,-39.3344014631945,68.9887879168786
"TANZANIA","NLS",1.0154452579654,1.48976802820494,1.71208461026545,1.86079527511871,0.962074815914573,1.40877937028967,1.13606110058962,1.33074716134257,-31.7472978107405,48.5323989512448
"TOGO","OLS",-0.481360074789315,0.977474284999095,1.19585257092526,1.19585257092526,1.34554759134095,1.34554759134095,-0.481360074789315,0.977474284999095,48.8762535488528,75.9895734198608
"TUNISIA","NLS",-2.47508476497928,2.54863011293907,-3.16665251020533,3.16665251020533,-3.21810874539559,3.21810874539559,-2.69659697785205,2.69659697785205,-12.2730923080684,75.6006827834875
"UGANDA","OLS",0.356679810555214,1.8707354195717,-0.0444540646439113,1.34240730345263,-0.210027178883125,1.62955088849537,0.356679810555214,1.8707354195717,14.4816212168559,71.1948525866461
"ZAMBIA","NLS",-0.207241150649651,1.62010556939229,1.60969871871823,1.73100010696781,1.51783211557037,1.66408213014178,-0.251480877735532,1.79395454958909,-13.3477257781381,101.820877244865
"ZIMBABWE","NLS w/o relations",1.14124820535865,3.78608138592328,2.52956238511237,3.63026919454593,1.41085969845555,3.50304504968431,NA,NA,-14.5569305346478,42.6130977073791
